League,Pos,Team,P,W,D,L,F,A,GD,Pts,Table Type,Season,KEY
La Liga,2,Atletico Madrid,19,12,6,1,30,8,22,42,Home League Table,2017/18,La Liga|Atletico Madrid|2017/18
La Liga,3,Valencia,19,13,3,3,36,16,20,42,Home League Table,2017/18,La Liga|Valencia|2017/18
La Liga,4,Real Madrid,19,12,4,3,54,20,34,40,Home League Table,2017/18,La Liga|Real Madrid|2017/18
La Liga,5,Sevilla,19,11,5,3,31,22,9,38,Home League Table,2017/18,La Liga|Sevilla|2017/18
La Liga,6,Villarreal,19,11,3,5,35,22,13,36,Home League Table,2017/18,La Liga|Villarreal|2017/18
La Liga,7,Real Betis,19,10,4,5,35,31,4,34,Home League Table,2017/18,La Liga|Real Betis|2017/18
La Liga,8,Real Sociedad,19,10,3,6,47,29,18,33,Home League Table,2017/18,La Liga|Real Sociedad|2017/18
La Liga,9,Celta Vigo,19,8,8,3,34,23,11,32,Home League Table,2017/18,La Liga|Celta Vigo|2017/18
La Liga,10,Getafe,19,9,4,6,26,13,13,31,Home League Table,2017/18,La Liga|Getafe|2017/18
La Liga,11,CD Leganes,19,9,4,6,19,19,0,31,Home League Table,2017/18,La Liga|CD Leganes|2017/18
La Liga,12,Espanyol,19,8,6,5,20,16,4,30,Home League Table,2017/18,La Liga|Espanyol|2017/18
La Liga,13,Eibar,19,8,4,7,26,19,7,28,Home League Table,2017/18,La Liga|Eibar|2017/18
La Liga,14,CD Alaves,19,9,1,9,21,23,-2,28,Home League Table,2017/18,La Liga|CD Alaves|2017/18
La Liga,15,Girona FC,19,8,3,8,26,22,4,27,Home League Table,2017/18,La Liga|Girona FC|2017/18
La Liga,16,Levante,19,7,6,6,25,28,-3,27,Home League Table,2017/18,La Liga|Levante|2017/18
La Liga,17,Athletic Bilbao,19,6,8,5,19,16,3,26,Home League Table,2017/18,La Liga|Athletic Bilbao|2017/18
La Liga,18,Deportivo La Coruna,19,4,6,9,22,33,-11,18,Home League Table,2017/18,La Liga|Deportivo La Coruna|2017/18
La Liga,19,Malaga,19,4,3,12,14,27,-13,15,Home League Table,2017/18,La Liga|Malaga|2017/18
La Liga,20,Las Palmas,19,4,2,13,15,38,-23,14,Home League Table,2017/18,La Liga|Las Palmas|2017/18
La Liga,1,Barcelona,19,12,6,1,46,18,28,42,Away League Table,2017/18,La Liga|Barcelona|2017/18
La Liga,2,Atletico Madrid,19,11,4,4,28,14,14,37,Away League Table,2017/18,La Liga|Atletico Madrid|2017/18
La Liga,3,Real Madrid,19,10,6,3,40,24,16,36,Away League Table,2017/18,La Liga|Real Madrid|2017/18
La Liga,4,Valencia,19,9,4,6,29,22,7,31,Away League Table,2017/18,La Liga|Valencia|2017/18
La Liga,5,Real Betis,19,8,2,9,25,30,-5,26,Away League Table,2017/18,La Liga|Real Betis|2017/18
La Liga,6,Villarreal,19,7,4,8,22,28,-6,25,Away League Table,2017/18,La Liga|Villarreal|2017/18
La Liga,7,Getafe,19,6,6,7,16,20,-4,24,Away League Table,2017/18,La Liga|Getafe|2017/18
La Liga,8,Girona FC,19,6,6,7,24,37,-13,24,Away League Table,2017/18,La Liga|Girona FC|2017/18
La Liga,9,Eibar,19,6,5,8,18,31,-13,23,Away League Table,2017/18,La Liga|Eibar|2017/18
La Liga,10,Sevilla,19,6,2,11,18,36,-18,20,Away League Table,2017/18,La Liga|Sevilla|2017/18
La Liga,11,CD Alaves,19,6,1,12,19,27,-8,19,Away League Table,2017/18,La Liga|CD Alaves|2017/18
La Liga,12,Espanyol,19,4,7,8,16,26,-10,19,Away League Table,2017/18,La Liga|Espanyol|2017/18
La Liga,13,Levante,19,4,7,8,19,30,-11,19,Away League Table,2017/18,La Liga|Levante|2017/18
La Liga,14,Athletic Bilbao,19,4,5,10,22,33,-11,17,Away League Table,2017/18,La Liga|Athletic Bilbao|2017/18
La Liga,15,Celta Vigo,19,5,2,12,25,37,-12,17,Away League Table,2017/18,La Liga|Celta Vigo|2017/18
La Liga,16,Real Sociedad,19,4,4,11,19,30,-11,16,Away League Table,2017/18,La Liga|Real Sociedad|2017/18
La Liga,17,CD Leganes,19,3,3,13,15,32,-17,12,Away League Table,2017/18,La Liga|CD Leganes|2017/18
La Liga,18,Deportivo La Coruna,19,2,5,12,16,43,-27,11,Away League Table,2017/18,La Liga|Deportivo La Coruna|2017/18
La Liga,19,Las Palmas,19,1,5,13,9,36,-27,8,Away League Table,2017/18,La Liga|Las Palmas|2017/18
La Liga,20,Malaga,19,1,2,16,10,34,-24,5,Away League Table,2017/18,La Liga|Malaga|2017/18
French Ligue 1,1,Paris Saint-Germain,38,29,6,3,108,29,79,93,League Table,2017/18,French Ligue 1|Paris Saint-Germain|2017/18
French Ligue 1,2,AS Monaco,38,24,8,6,85,45,40,80,League Table,2017/18,French Ligue 1|AS Monaco|2017/18
French Ligue 1,3,Olympique Lyonnais,38,23,9,6,87,43,44,78,League Table,2017/18,French Ligue 1|Olympique Lyonnais|2017/18
French Ligue 1,4,Olympique Marseille,38,22,11,5,80,47,33,77,League Table,2017/18,French Ligue 1|Olympique Marseille|2017/18
French Ligue 1,5,Stade Rennes,38,16,10,12,50,44,6,58,League Table,2017/18,French Ligue 1|Stade Rennes|2017/18
French Ligue 1,6,Girondins De Bordeaux,38,16,7,15,53,48,5,55,League Table,2017/18,French Ligue 1|Girondins De Bordeaux|2017/18
French Ligue 1,7,AS Saint-Etienne,38,15,10,13,47,50,-3,55,League Table,2017/18,French Ligue 1|AS Saint-Etienne|2017/18
French Ligue 1,8,OGC Nice,38,15,9,14,53,52,1,54,League Table,2017/18,French Ligue 1|OGC Nice|2017/18
French Ligue 1,9,FC Nantes,38,14,10,14,36,41,-5,52,League Table,2017/18,French Ligue 1|FC Nantes|2017/18
French Ligue 1,10,Montpellier HSC,38,11,18,9,36,33,3,51,League Table,2017/18,French Ligue 1|Montpellier HSC|2017/18
French Ligue 1,11,Dijon FCO,38,13,9,16,55,73,-18,48,League Table,2017/18,French Ligue 1|Dijon FCO|2017/18
French Ligue 1,12,En Avant Guingamp,38,12,11,15,48,59,-11,47,League Table,2017/18,French Ligue 1|En Avant Guingamp|2017/18
French Ligue 1,13,SC Amiens,38,12,9,17,37,42,-5,45,League Table,2017/18,French Ligue 1|SC Amiens|2017/18
French Ligue 1,14,Angers SCO,38,9,14,15,42,52,-10,41,League Table,2017/18,French Ligue 1|Angers SCO|2017/18
French Ligue 1,15,RC Strasbourg,38,9,11,18,44,67,-23,38,League Table,2017/18,French Ligue 1|RC Strasbourg|2017/18
French Ligue 1,16,Caen,38,10,8,20,27,52,-25,38,League Table,2017/18,French Ligue 1|Caen|2017/18
French Ligue 1,17,Lille OSC,38,10,8,20,41,67,-26,38,League Table,2017/18,French Ligue 1|Lille OSC|2017/18
French Ligue 1,18,Toulouse,38,9,10,19,38,54,-16,37,League Table,2017/18,French Ligue 1|Toulouse|2017/18
French Ligue 1,19,Troyes AC,38,9,6,23,32,59,-27,33,League Table,2017/18,French Ligue 1|Troyes AC|2017/18
French Ligue 1,20,FC Metz,38,6,8,24,34,76,-42,26,League Table,2017/18,French Ligue 1|FC Metz|2017/18
French Ligue 1,1,Paris Saint-Germain,19,17,1,1,70,15,55,52,Home League Table,2017/18,French Ligue 1|Paris Saint-Germain|2017/18
French Ligue 1,2,AS Monaco,19,15,3,1,47,17,30,48,Home League Table,2017/18,French Ligue 1|AS Monaco|2017/18
French Ligue 1,3,Olympique Marseille,19,12,5,2,44,19,25,41,Home League Table,2017/18,French Ligue 1|Olympique Marseille|2017/18
French Ligue 1,4,Olympique Lyonnais,19,12,5,2,38,18,20,41,Home League Table,2017/18,French Ligue 1|Olympique Lyonnais|2017/18
French Ligue 1,5,Dijon FCO,19,11,3,5,35,28,7,36,Home League Table,2017/18,French Ligue 1|Dijon FCO|2017/18
French Ligue 1,6,OGC Nice,19,10,3,6,29,23,6,33,Home League Table,2017/18,French Ligue 1|OGC Nice|2017/18
French Ligue 1,7,En Avant Guingamp,19,8,7,4,30,24,6,31,Home League Table,2017/18,French Ligue 1|En Avant Guingamp|2017/18
French Ligue 1,8,AS Saint-Etienne,19,8,7,4,32,27,5,31,Home League Table,2017/18,French Ligue 1|AS Saint-Etienne|2017/18
French Ligue 1,9,Girondins De Bordeaux,19,9,4,6,27,23,4,31,Home League Table,2017/18,French Ligue 1|Girondins De Bordeaux|2017/18
French Ligue 1,10,SC Amiens,19,8,5,6,26,19,7,29,Home League Table,2017/18,French Ligue 1|SC Amiens|2017/18
French Ligue 1,11,Stade Rennes,19,8,4,7,21,22,-1,28,Home League Table,2017/18,French Ligue 1|Stade Rennes|2017/18
French Ligue 1,12,FC Nantes,19,8,4,7,15,17,-2,28,Home League Table,2017/18,French Ligue 1|FC Nantes|2017/18
French Ligue 1,13,RC Strasbourg,19,7,6,6,27,27,0,27,Home League Table,2017/18,French Ligue 1|RC Strasbourg|2017/18
French Ligue 1,14,Toulouse,19,7,5,7,23,21,2,26,Home League Table,2017/18,French Ligue 1|Toulouse|2017/18
French Ligue 1,15,Caen,19,7,5,7,17,19,-2,26,Home League Table,2017/18,French Ligue 1|Caen|2017/18
French Ligue 1,16,Montpellier HSC,19,5,9,5,20,19,1,24,Home League Table,2017/18,French Ligue 1|Montpellier HSC|2017/18
French Ligue 1,17,Lille OSC,19,6,6,7,24,27,-3,24,Home League Table,2017/18,French Ligue 1|Lille OSC|2017/18
French Ligue 1,18,Troyes AC,19,7,3,9,17,22,-5,24,Home League Table,2017/18,French Ligue 1|Troyes AC|2017/18
French Ligue 1,19,Angers SCO,19,5,7,7,23,28,-5,22,Home League Table,2017/18,French Ligue 1|Angers SCO|2017/18
French Ligue 1,20,FC Metz,19,3,4,12,16,37,-21,13,Home League Table,2017/18,French Ligue 1|FC Metz|2017/18
